,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2016 - Apr,18602.429,17644.151,,
2016 - May,18584.134,17593.605,,
2016 - Jun,18648.288,17617.778,,
2016 - Jul,18659.492,17626.638,,
2016 - Aug,18774.507,17739.966,,
2016 - Sep,18892.378,17806.405,,
2016 - Oct,18862.231,17733.587,,
2016 - Nov,18984.214,17838.121,,
2016 - Dec,19057.678,17865.534,,
2017 - Jan,19095.958,17852.073,,
2017 - Feb,19126.756,17863.991,,
2017 - Mar,19221.868,17950.789,,
2017 - Apr,19175.909,17873.886,,
2017 - May,19309.273,17992.199,,
2017 - Jun,19428.337,18071.087,,
2017 - Jul,19441.263,18064.320,,
2017 - Aug,19542.964,18112.911,,
2017 - Sep,19701.462,18206.193,,
2017 - Oct,19748.582,18200.301,,
2017 - Nov,19919.945,18334.898,,
2017 - Dec,20015.724,18395.078,,
2018 - Jan,20054.061,18380.062,,
2018 - Feb,20203.445,18480.542,,
2018 - Mar,20208.953,18450.134,,
2018 - Apr ,20356.207,18508.470,,
2018 - May,20497.788,18581.760,,
2018 - Jun,20556.596,18606.213,,
2018 - Jul,20612.744,18656.595,,
2018 - Aug,20707.225,18719.976,,
2018 - Sep,20741.865,18722.022,,
2018 - Oct,20812.964,18738.195,,
2018 - Nov,20795.621,18703.443,,
2018 - Dec,20849.223,18758.852,,
2019 - Jan,20976.629,18833.711,,
2019 - Feb,20998.558,18822.396,,
2019 - Mar,21064.068,18849.382,,
2019 - Apr,21190.455,18906.744,,
2019 - May,21247.912,18935.832,,
2019 - Jun,21378.978,19043.233,,
2019 - Jul,21485.763,19098.841,,
2019 - Aug,21527.157,19125.772,,
2019 - Sep,21582.597,19167.472,,
2019 - Oct,21625.179,19158.742,,
2019 - Nov,21713.260,19230.851,,
2019 - Dec,21781.158,19256.814,,
2020 - Jan,21780.378,19218.596,,
2020 - Feb,21952.371,19366.942,,
2020 - Mar,20881.347,18383.709,,
2020 - Apr,18686.252,16573.620,,
2020 - May,19512.303,17287.292,,
2020 - Jun,20711.638,18274.793,,
2020 - Jul,21100.727,18540.116,,
2020 - Aug,21327.012,18728.007,,
2020 - Sep,21659.545,18963.267,,
2020 - Oct,21808.947,19065.949,,
2020 - Nov,21589.808,18845.267,,
2020 - Dec,21715.363,18862.088,,
2021 - Jan,22220.625,19223.818,,
2021 - Feb,22025.441,18984.683,,
2021 - Mar,22695.484,19441.059,,
2021 - Apr,22822.309,19452.581,,
2021 - May,23081.458,19577.309,,
2021 - June,23237.035,19603.770,,
2021 - July,23317.877,19556.950,,
2021 - Aug,23574.824,19688.678,,
2021 - Sep,23758.559,19773.149,,
2021 - Oct,24227.061,20015.474,,
2021 - Nov,24307.223,19968.637,,
2021 - Dec,24513.078,20035.485,,
2022 - Jan,24520.398,19904.521,,
2022 - Feb,24716.567,19922.971,,
2022 - Mar,24984.475,19945.733,,
2022 - Apr,25003.491,19862.561,,
2022 - May,25239.853,19925.871,,
2022 - Jun,25502.085,19898.145,,
2022 - Jul,25472.403,19895.757,,
2022 - Aug,25864.920,20181.489,,
2022 - Sep,25834.500,20087.163,,
2022 - Oct,26046.132,20139.099,,
2022 - Nov,26226.907,20220.024,,
2022 - Dec,26140.937,20188.882,,
2023 - Jan,26480.953,20323.331,,
2023 - Feb,26533.177,20268.561,,
2023 - Mar,26574.841,20256.692,,
2023 - Apr,26694.472,20296.640,,
2023 - May,26858.297,20421.070,,
2023 - June,26989.625,20520.52015,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
